Track-id,ImageName,3: Unique Frame Identifier,TL_x,TL_y,BR_x,BR_y,Length Confidence,Target Length,Repeated Species,Attributes,poly_coordinates,Unnamed: 12,ImageName.1,Label
0,soloAUV 20220911-162037-007.png,21,3323,987,3444,1079,1,-1,copepod,1,(poly) 3349 1079 3370 1076 3394 1019 3432 1019 3444 997 3360 987 3324 994 3323 1019 3345 1019 3349 1079,,,
1,soloAUV 20220911-162038-008.png,22,1838,1528,2034,1697,1,-1,marine-snow,1,,,,
2,soloAUV 20220911-162039-009.png,23,2765,2459,2835,2528,1,-1,copepod-maybe,1,,,,
3,soloAUV 20220911-162041-011.png,25,3285,1615,3416,1736,1,-1,copepod,1,(poly) 3319 1736 3416 1650 3405 1615 3366 1617 3287 1700 3285 1717 3319 1736,,,
4,soloAUV 20220911-162041-011.png,25,1564,1054,1848,1337,1,-1,marine-snow,1,(poly) 1630 1337 1713 1224 1831 1135 1848 1064 1723 1054 1564 1094 1589 1312 1630 1337,,,
5,soloAUV 20220911-162042-012.png,26,2133,2411,2205,2524,1,-1,copepod,1,(poly) 2161 2524 2196 2488 2205 2477 2158 2411 2133 2423 2145 2463 2144 2517 2161 2524,,,
6,soloAUV 20220911-162043-013.png,27,2399,295,2632,484,1,-1,copepod-centropages,1,(poly) 2416 484 2527 457 2632 354 2608 332 2544 360 2512 337 2525 309 2489 295 2459 339 2473 426 2399 457 2416 484,,,
7,soloAUV 20220911-162046-016.png,30,2725,1546,2856,1690,1,-1,copepod,1,(poly) 2747 1654 2792 1641 2819 1690 2856 1684 2833 1605 2780 1546 2747 1551 2769 1591 2725 1618 2747 1654,,,
8,soloAUV 20220911-162047-017.png,31,2486,2430,2609,2522,1,-1,copepod,1,(poly) 2563 2522 2582 2517 2566 2471 2609 2447 2591 2430 2486 2501 2499 2511 2535 2494 2563 2522,,,
9,soloAUV 20220911-162047-017.png,31,1244,1697,1412,1832,1,-1,marine-snow,1,,,,
10,soloAUV 20220911-162048-018.png,32,2272,2385,2388,2467,1,-1,copepod,1,(poly) 2313 2455 2333 2420 2370 2438 2388 2418 2283 2385 2272 2410 2297 2424 2285 2462 2305 2467 2313 2455,,,
11,soloAUV 20220911-162048-018.png,32,1404,2122,1465,2227,1,-1,copepod,1,(poly) 1437 2227 1465 2173 1437 2122 1404 2133 1416 2160 1404 2222 1437 2227,,,
