Track-id,ImageName,3: Unique Frame Identifier,TL_x,TL_y,BR_x,BR_y,Length Confidence,Target Length,Repeated Species,Attributes,poly_coordinates,Unnamed: 12
0,soloAUV 20220919-163747-003.png,2,1048,1411,1121,1473,1,-1,copepod,1,(poly) 1073 1411 1104 1424 1121 1431 1121 1442 1111 1449 1092 1455 1070 1459 1068 1470 1056 1473 1048 1463 1052 1449 1052 1430 1052 1420 1062 1413 1070 1412 1073 1411,
1,soloAUV 20220919-163749-005.png,4,1528,195,1654,334,1,-1,copepod-edge,1,(poly) 1580 208 1620 229 1615 195 1642 195 1654 251 1650 297 1616 320 1594 334 1565 320 1587 280 1549 242 1528 225 1559 204 1580 208,
2,soloAUV 20220919-173125-003.png,13,2099,1695,2242,1771,1,-1,unknown,1,(poly) 2099 1743 2116 1771 2235 1749 2242 1718 2218 1695 2099 1743,
3,soloAUV 20220919-173126-004.png,14,2821,1424,2891,1480,1,-1,copepod-maybe,1,,
4,soloAUV 20220919-173131-009.png,19,1436,1249,1546,1336,1,-1,ostracod-maybe,1,,
5,soloAUV 20220919-173134-012.png,22,1965,2318,2175,2488,1,-1,copepod,1,(poly) 2134 2318 2175 2344 2154 2378 2058 2411 2013 2488 1965 2476 2045 2351 2134 2318,
6,soloAUV 20220919-173136-013.png,23,2071,298,2139,383,1,-1,copepod,1,(poly) 2099 302 2138 298 2139 321 2099 381 2071 383 2072 349 2099 302,
7,soloAUV 20220919-173136-013.png,23,2642,2498,2802,2601,1,-1,copepod,1,(poly) 2751 2502 2798 2498 2802 2513 2780 2525 2722 2586 2705 2596 2661 2601 2642 2580 2721 2513 2751 2502,
8,soloAUV 20220919-173136-013.png,23,1631,2383,1750,2457,1,-1,copepod,1,(poly) 1656 2455 1748 2457 1750 2441 1689 2431 1696 2390 1688 2383 1665 2383 1641 2415 1631 2441 1656 2455,
9,soloAUV 20220919-173138-015.png,25,1528,2367,1671,2458,1,-1,copepod,1,(poly) 1528 2422 1583 2458 1671 2450 1660 2420 1628 2422 1650 2378 1634 2367 1574 2422 1536 2417 1528 2422,
10,soloAUV 20220919-173138-015.png,25,1898,1463,2037,1582,1,-1,copepod,1,(poly) 1931 1570 1981 1531 2037 1479 2019 1463 1987 1490 1959 1471 1936 1492 1948 1525 1898 1565 1911 1582 1931 1570,
11,soloAUV 20220919-173142-019.png,29,1917,2454,2065,2607,1,-1,copepod-maybe,1,(poly) 1946 2607 2050 2514 2065 2454 2028 2459 2007 2503 1917 2579 1917 2604 1946 2607,
12,soloAUV 20220919-173143-020.png,30,2085,2041,2199,2134,1,-1,copepod-maybe,1,(poly) 2106 2134 2154 2099 2179 2115 2199 2093 2158 2050 2127 2041 2111 2052 2122 2067 2085 2126 2098 2132 2106 2134,
13,soloAUV 20220919-173146-023.png,33,2001,2402,2120,2457,1,-1,copepod,1,(poly) 2001 2435 2015 2457 2097 2448 2120 2419 2094 2402 2037 2402 2001 2435,
14,soloAUV 20220919-173146-023.png,33,2630,1108,2739,1233,1,-1,appendicularian,1,(poly) 2667 1135 2717 1108 2739 1146 2728 1196 2690 1233 2657 1221 2657 1195 2630 1186 2667 1135,
15,soloAUV 20220919-173147-024.png,34,2596,179,2708,314,1,-1,copepod,1,(poly) 2676 179 2686 213 2708 220 2692 314 2654 312 2596 278 2620 234 2676 179,
16,soloAUV 20220919-173147-024.png,34,1177,1184,1325,1276,1,-1,copepod,1,(poly) 1324 1195 1265 1236 1198 1276 1177 1263 1201 1214 1242 1195 1300 1189 1325 1184 1321 1195 1324 1195,
17,soloAUV 20220919-173147-024.png,34,2375,1596,2474,1678,1,-1,unknown,1,(poly) 2418 1597 2474 1596 2456 1665 2419 1678 2396 1663 2375 1638 2418 1597,
18,soloAUV 20220919-173149-026.png,36,2585,2619,2690,2716,1,-1,copepod-maybe-edge,1,(poly) 2649 2619 2589 2679 2585 2708 2603 2716 2635 2703 2660 2673 2690 2644 2689 2622 2649 2619,
19,soloAUV 20220919-173151-028.png,38,2968,1551,3218,1699,1,-1,unknown,1,(poly) 3012 1699 3185 1594 3218 1567 3196 1551 3079 1604 2968 1677 3012 1699,
20,soloAUV 20220919-173153-030.png,40,2553,556,2657,659,1,-1,copepod,1,(poly) 2651 603 2597 618 2604 650 2581 659 2553 621 2561 558 2581 556 2586 589 2642 581 2657 591 2651 603,
21,soloAUV 20220919-173201-038.png,48,1706,1580,1846,1697,1,-1,copepod,1,(poly) 1706 1597 1749 1656 1822 1697 1842 1659 1803 1640 1846 1598 1828 1580 1765 1615 1745 1596 1706 1597,
22,soloAUV 20220919-173201-038.png,48,2438,2219,2530,2300,1,-1,copepod,1,(poly) 2457 2300 2494 2280 2495 2300 2530 2296 2528 2255 2507 2225 2493 2219 2486 2234 2441 2270 2438 2297 2457 2300,
23,soloAUV 20220919-173205-041.png,51,2206,1018,2509,1153,1,-1,copepod,1,(poly) 2240 1153 2374 1142 2509 1102 2495 1065 2403 1087 2421 1024 2369 1018 2321 1110 2209 1119 2206 1153 2240 1153,
24,soloAUV 20220919-173205-041.png,51,1372,1904,1549,2047,1,-1,copepod-maybe,1,(poly) 1435 1918 1473 1935 1538 1916 1549 1950 1487 1971 1438 2022 1393 2047 1383 2027 1431 1967 1372 1925 1408 1904 1435 1918,
25,soloAUV 20220919-173206-042.png,52,1992,1261,2091,1326,1,-1,copepod,1,,
26,soloAUV 20220919-173208-044.png,54,2352,1776,2581,1931,1,-1,copepod,1,(poly) 2374 1919 2457 1931 2581 1867 2568 1849 2522 1866 2536 1814 2517 1776 2475 1792 2475 1829 2421 1900 2363 1895 2352 1921 2374 1919,
27,soloAUV 20220919-173208-044.png,54,2050,961,2138,1046,1,-1,copepod,1,(poly) 2052 974 2050 1002 2061 1046 2094 1042 2079 1014 2138 992 2138 961 2077 982 2073 968 2056 969 2052 974,
28,soloAUV 20220919-173209-045.png,55,2530,1082,2651,1148,1,-1,crustacea-maybe,1,(poly) 2538 1114 2613 1082 2649 1097 2651 1116 2552 1148 2530 1125 2538 1114,
29,soloAUV 20220919-173210-046.png,56,2748,2492,2845,2535,1,-1,unknown,1,(poly) 2794 2535 2845 2526 2842 2492 2763 2501 2748 2524 2794 2535,
30,soloAUV 20220919-173214-050.png,60,2559,572,2749,744,1,-1,crustacea,1,(poly) 2603 744 2728 631 2749 572 2687 591 2559 685 2568 728 2603 744,
31,soloAUV 20220919-173215-051.png,61,2317,839,2459,1011,1,-1,copepod,1,(poly) 2374 841 2324 904 2317 964 2363 1011 2394 996 2368 940 2459 916 2453 874 2385 882 2415 845 2377 839 2374 841,
32,soloAUV 20220919-173215-051.png,61,1782,421,1904,570,1,-1,copepod,1,(poly) 1803 570 1904 543 1900 515 1872 515 1848 504 1881 426 1857 421 1817 512 1793 525 1782 547 1798 569 1803 570,
33,soloAUV 20220919-173223-058.png,68,1547,1118,1710,1229,1,-1,copepod,1,(poly) 1664 1165 1670 1205 1657 1222 1610 1205 1571 1229 1547 1208 1605 1162 1696 1118 1710 1126 1703 1142 1664 1165,
